#NAME?,"Sorry, the query is too large to fit into the Excel cell. You will not be able to update your table with the .Stat Populator.",,,,,,,,,,,,,,,,,,,,,
Dataset: Metropolitan areas,,,,,,,,,,,,,,,,,,,,,,
Variables,,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",,,,,,,,,,,,,,,,,,,,
Unit,,US Dollar,,,,,,,,,,,,,,,,,,,,
Year,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
  JPN48: Hakodate,,..,29049,28970,29270,29906,29594,29780,29879,29267,29202,29609,30122,30246,31058,31289,31855,32048,32969,33610,..,..
  JPN49: Hachinohe,,..,26928,26861,27122,27548,27354,29371,29674,28460,28630,29429,30288,31060,31076,31439,32203,32258,31983,31917,..,..
  JPN50: Hitachi,,..,31524,32443,33023,32736,33495,36682,38386,37651,35862,37548,39758,39504,39452,39945,41456,42035,45033,46396,..,..
  JPN51: Aomori,,..,26527,26448,26704,27124,26930,29029,29332,28123,28314,29121,29960,30678,30619,30959,31799,31963,31716,31604,..,..
  JPN53: Obihiro,,..,31390,31305,31630,32317,31979,32181,32288,31626,31555,31996,32550,32684,33562,33815,34177,34141,34879,35353,..,..
KOR: Korea,,22562,23455,25033,25816,27050,28002,29441,30917,31649,31654,33697,34653,35318,36244,37137,37967,38927,40082,41041,41847,41432
  KOR01: Seoul,,..,..,..,..,..,..,..,..,..,..,32831,33626,34382,35320,36386,37642,40244,42063,44594,45302,45120
  KOR02: Gimhae,,..,..,..,..,..,..,..,..,..,..,29124,29933,30664,31067,31874,32662,32995,32913,33333,34768,33706
  KOR03: Dalseong,,..,..,..,..,..,..,..,..,..,..,20530,21298,22137,22937,23708,24456,24649,24930,25775,26828,26649
  KOR04: Gwangsan,,..,..,..,..,..,..,..,..,..,..,25593,25814,26296,27203,28238,28864,29935,30123,31628,33300,33122
  KOR05: Seo,,..,..,..,..,..,..,..,..,..,..,25558,26275,26736,26950,27629,28618,29879,30285,30959,32871,33493
  KOR06: Seongsan,,..,..,..,..,..,..,..,..,..,..,33495,34539,35538,35761,36147,37144,37545,37004,37435,39135,38306
  KOR07: Ulsan,,..,..,..,..,..,..,..,..,..,..,67898,75154,75053,74931,72569,72814,73125,72935,71285,73636,67527
  KOR08: Heungdeok,,..,..,..,..,..,..,..,..,..,..,35682,37344,38559,39689,41010,43647,46115,49239,52163,52334,52845
  KOR09: Deokjin,,..,..,..,..,..,..,..,..,..,..,28984,30193,30501,31719,32458,32525,32394,32719,33419,34598,34839
  KOR10: Sebuk,,..,..,..,..,..,..,..,..,..,..,63742,66561,65739,63857,64327,64476,65639,67995,66160,64503,63352
  KOR11: Gyeongsan,,..,..,..,..,..,..,..,..,..,..,52439,53097,52953,54234,56332,53539,54283,54124,52938,52043,50350
  KOR12: Pohan,,..,..,..,..,..,..,..,..,..,..,41286,42120,42312,43677,46051,44471,45552,45889,45446,45295,44359
  KOR13: Gumi,,..,..,..,..,..,..,..,..,..,..,47569,48021,47860,49141,51565,49707,50763,50855,50157,49934,48983
  KOR14: Jeju,,..,..,..,..,..,..,..,..,..,..,18953,20261,21298,21901,23025,24367,25786,26399,25949,26217,24719
  KOR15: Jinju,,..,..,..,..,..,..,..,..,..,..,36522,37623,38607,38636,38626,39052,38909,37989,38265,39695,38393
  KOR16: Wonju,,..,..,..,..,..,..,..,..,..,..,30381,30769,31278,32296,34024,34318,34908,35632,36234,37584,36559
  KOR17: Iksan,,..,..,..,..,..,..,..,..,..,..,25461,26631,27092,28447,29384,29874,30012,30348,31296,33128,34128
  KOR18: Chuncheon,,..,..,..,..,..,..,..,..,..,..,30291,30857,31615,32754,34536,35057,35922,36956,37921,39733,39080
  KOR19: Gunsan,,..,..,..,..,..,..,..,..,..,..,24929,25807,25949,26977,27773,28024,28013,28418,29256,30593,31156
  KOR20: Suncheon,,..,..,..,..,..,..,..,..,..,..,46876,47251,47496,48125,47203,47322,48136,48426,49221,50619,50456
LTU: Lithuania,,12939,13882,14958,16650,17914,19550,21417,24088,25005,21487,22133,24157,25494,26681,27892,28673,29728,31444,33153,34852,34807
  LT001: Vilnius,,17900,19496,21952,24409,26178,28804,32510,37222,37562,31956,32508,34572,36708,38860,40761,41917,43401,45232,48254,51026,..
  LT002: Kaunas,,11872,13414,14024,15882,16989,18837,20561,23181,24193,20440,21208,23678,25063,26247,27612,28553,30158,32061,33901,35500,..
LUX: Luxembourg,,95221,96941,98929,100558,103280,104405,108833,115893,113727,107880,110027,109053,108104,109002,109289,109133,111923,110630,110722,112143,108002
  LU001: Luxembourg,,95221,96941,98929,100558,103280,104405,108833,115893,113727,107880,110027,109053,108104,109002,109289,109133,111923,110630,110722,112143,108002
LVA: Latvia,,12112,13033,14152,15488,16939,18978,21457,23793,23201,20162,19645,20594,22365,23051,23751,24865,25675,26782,28077,28991,28130
  LV001: Riga,,17264,18668,20223,22126,24091,27121,31511,33863,32789,27855,27257,27721,30692,32467,33129,34840,35864,37063,39733,39537,..
MEX: Mexico,,..,..,..,16086,16523,16715,17264,17437,17397,16251,16873,17275,17695,17731,18036,18430,18719,18922,19148,18932,17374
  MEX01: Mexico City,,..,..,..,..,..,22716,23117,23236,22917,22467,23009,23161,23658,24367,24666,25551,25818,25738,25985,25366,23101
  MEX02: Guadalajara,,..,..,..,17932,17483,17392,17594,17608,17145,16340,16979,16906,17435,17892,18574,19471,20303,20235,20454,20352,18725
  MEX03: Monterrey,,..,..,..,29524,30477,30730,31890,32666,31961,29831,30950,30576,31073,30565,31096,32922,32962,33338,33872,33714,30225
  MEX04: Puebla,,..,..,..,10839,10691,10820,10860,11045,10989,10318,10843,11025,11549,11366,11330,11752,11886,12055,12059,11785,10428
  MEX05: Toluca,,..,..,..,11852,11655,11606,11597,11595,11345,10765,11173,11307,11632,11940,12125,12634,12794,12925,13047,12536,11691
  MEX06: Tijuana,,..,..,..,22606,22645,22103,22589,21983,20912,18751,18707,18239,18633,18459,18901,20940,21789,21803,21866,21825,20564
  MEX07: Leon,,..,..,..,13184,13099,12525,13189,12838,12877,12090,12609,13001,13407,13737,14303,15268,15486,16168,16263,15521,14458
  MEX08: Queretaro,,..,..,..,18596,19029,19745,20116,20265,20186,19604,20037,20437,20487,20275,20784,21961,22535,22707,22691,21866,19284
  MEX09: Merida,,..,..,..,13111,13078,13469,13613,13780,13624,13590,13665,13473,14003,14059,14403,14727,15288,15436,15652,15552,14113
  MEX10: Juarez,,..,..,..,15559,15696,15715,16651,17123,16892,15750,16217,16005,17222,17337,17816,19805,20780,20881,20873,20769,19553
  MEX11: San Luis Potosi,,..,..,..,13534,13996,14328,14808,14885,14689,13981,14426,14728,15184,15363,15719,16705,17171,17861,18429,18173,16928
  MEX12: Torreon,,..,..,..,19934,19989,19448,19737,19976,19825,17901,19423,20413,21162,20912,21448,22259,22947,23389,23372,23083,20769
  MEX13: Mexicali,,..,..,..,21894,22097,21723,22250,21698,20683,18582,18573,18309,18904,18921,19568,21889,22989,23213,23484,23639,22458
  MEX14: Cuernavaca,,..,..,..,14455,14073,14662,13788,13524,12903,12733,12978,12611,12540,13064,13017,13279,13782,14143,13631,13262,11709
  MEX15: Villahermosa,,..,..,..,21838,24970,27509,29367,29932,32821,28481,31341,36244,36408,33462,33454,26322,24111,24199,22928,23012,21334
  MEX16: Culiacan,,..,..,..,14780,15547,15126,14989,15569,15934,15416,15379,15365,15685,15755,15516,16472,17209,16913,16903,17125,15990
  MEX17: Morelia,,..,..,..,10171,10144,10127,10299,10442,10488,10006,10143,10572,10539,10614,11033,11058,11559,11934,11888,11756,10892
  MEX18: Chihuahua,,..,..,..,17935,17930,17796,18611,18896,18408,16953,17247,17006,18283,18391,18884,20976,21992,22083,22057,21932,20635
  MEX19: Veracruz,,..,..,..,11575,12059,11801,12539,12667,12639,12124,12618,12846,13461,13277,13207,13137,12791,12519,12627,12714,11564
  MEX20: Hermosillo,,..,..,..,21669,22052,22663,23841,23724,22910,21543,21958,23417,24055,24509,24517,25903,27293,27244,26886,25938,24890
  MEX21: Aguascalientes,,..,..,..,16802,16935,16841,17386,18380,17664,16941,17405,17433,18181,18359,19763,20976,22666,22745,23240,22572,21361
  MEX22: Acapulco de Juarez,,..,..,..,8390,8595,8628,8435,8537,8237,8052,8228,8223,8446,8658,9004,9337,9523,9485,9667,9731,9020
  MEX23: Tampico,,..,..,..,19104,19530,20091,20516,20447,21001,18369,18218,17940,18336,18461,18695,19720,19777,19773,19937,20181,18375
  MEX24: Oaxaca de Juarez,,..,..,..,8832,9067,8228,9156,8629,8722,8270,8498,8501,8782,8462,8734,9189,8421,8500,8992,8438,8079
  MEX25: Reynosa,,..,..,..,23273,23299,23566,23661,23225,23552,20239,19768,19313,19594,19633,19786,20817,20793,20699,20761,20912,18947
  MEX26: Xalapa,,..,..,..,12308,12863,12626,13322,13367,13251,12632,13068,13321,13976,13802,13746,13688,13343,13074,13201,13306,12115
  MEX27: Saltillo,,..,..,..,24858,24994,24427,24871,25225,24900,21459,24112,25197,26029,25088,25710,26713,27211,28045,28004,27270,24067
  MEX28: Benito Juarez,,..,..,..,22096,21893,21035,21332,22485,22408,20415,20469,19858,20044,20226,20706,21095,22065,21621,21790,21273,15489
  MEX29: Celaya,,..,..,..,12994,13017,12546,13211,12860,12899,12111,12631,13136,13658,14107,14804,15923,16270,17109,17329,16651,15613
  MEX30: Durango,,..,..,..,14745,14683,14125,14066,14008,13932,13828,13755,14312,14627,14995,15092,15304,15909,15479,15195,15256,14125
  MEX31: Tuxtla Gutierrez,,..,..,..,8083,7591,7417,7550,7465,7535,7185,7448,7546,7697,7559,7773,7589,7545,7082,6749,6576,6350
  MEX32: Pachuca de Soto,,..,..,..,11525,12460,11013,12381,11831,12026,10548,11163,11246,11907,11486,12052,12977,12494,13101,13458,12626,11034
  MEX33: Irapuato,,..,..,..,13242,13337,12922,13555,13148,13142,12299,12787,13288,13805,14248,14940,16058,16395,17228,17438,16744,15690
  MEX34: Ahome,,..,..,..,14428,15156,14726,14631,15236,15633,15161,15160,15277,15726,15926,15809,16914,17807,17631,17749,18110,17028
  MEX35: Matamoros,,..,..,..,19193,19538,20077,20512,20474,21099,18414,18255,17912,18249,18360,18577,19621,19673,19656,19787,20001,18184
  MEX36: Ensenada,,..,..,..,23092,23323,22944,23342,22617,21425,19135,19017,18596,19051,18925,19428,21578,22507,22573,22688,22694,21427
  MEX37: Poza Rica de Hidalgo,,..,..,..,11137,11728,11598,12354,12511,12513,12032,12550,12916,13680,13636,13706,13773,13547,13392,13642,13870,12737
  MEX38: Tepic,,..,..,..,11409,12459,12602,12289,11907,12475,11684,12018,12061,11810,12109,12583,13285,13823,13831,13609,13603,11733
  MEX39: Orizaba,,..,..,..,11424,12018,11873,12616,12746,12719,12202,12699,12981,13656,13522,13502,13480,13173,12939,13096,13232,12076
  MEX40: Mazatlan,,..,..,..,14735,15509,15097,14949,15517,15870,15343,15297,15321,15678,15784,15579,16575,17354,17091,17115,17373,16252
  MEX41: Cajeme,,..,..,..,19910,20604,21519,22763,22774,22105,20889,21393,23103,24025,24772,25071,26791,28544,28803,28727,28002,27144
  MEX42: Nuevo Laredo,,..,..,..,20238,20466,20897,21262,21138,21699,18866,18635,18287,18632,18748,18972,20039,20095,20080,20215,20436,18581
  MEX43: Guadalupe,,..,..,..,10861,11267,10886,11506,11642,12048,12512,13647,14285,14298,12995,13220,13754,14203,13998,13430,12666,12443
  MEX44: Coatzacoalcos,,..,..,..,11423,11994,11827,12553,12667,12626,12100,12581,12934,13684,13625,13680,13733,13493,13325,13559,13771,12633
  MEX45: Tapachula,,..,..,..,8003,7675,7652,7737,7599,7622,7225,7446,7535,7677,7530,7735,7544,7492,7025,6687,6509,6279
  MEX46: Victoria,,..,..,..,20793,21136,21687,21982,21774,22272,19298,18999,18682,19073,19229,19496,20633,20729,20751,20928,21194,19304
  MEX47: Tlaxcala,,..,..,..,10622,11284,9744,9306,9245,9579,9433,10060,9509,9886,9647,9893,10661,10519,10185,10452,10690,9282
  MEX48: Cordoba,,..,..,..,11355,11874,11663,12408,12551,12538,12042,12547,12844,13532,13418,13417,13414,13126,12910,13085,13238,12097
  MEX49: Uruapan,,..,..,..,10485,10562,10647,10763,10851,10838,10286,10375,10875,10901,11038,11534,11618,12205,12661,12670,12586,11712
  MEX50: Tehuacan,,..,..,..,10645,10344,10595,10718,10956,10888,10201,10731,10964,11465,11266,11173,11519,11654,11847,11800,11457,10138
  MEX51: Minatitlan,,..,..,..,11385,12002,11882,12635,12774,12756,12246,12753,13127,13905,13863,13936,14007,13779,13623,13879,14113,12963
  MEX52: Cuautla,,..,..,..,14975,14631,15295,14322,13990,13295,13070,13272,12904,12838,13381,13340,13614,14137,14513,13994,13621,12031
  MEX53: Chilpancingo de los Bravo,,..,..,..,9338,9392,9258,9002,9064,8702,8467,8613,8456,8535,8600,8792,8966,8995,8815,8840,8758,7993
  MEX54: Monclova,,..,..,..,22478,22944,22756,23349,23857,23720,20583,23282,24605,25696,25031,25916,27197,27974,29104,29329,28816,25653
  MEX55: Los Cabos,,..,..,..,33498,32898,32600,31236,32401,30622,29157,27382,26557,25626,24436,23677,26510,26613,28674,32767,28560,20946
  MEX56: Colima,,..,..,..,17984,17143,16877,17049,17640,17302,16526,17043,17641,17848,18260,18458,18794,19074,19562,19951,20832,18898
  MEX57: La Paz,,..,..,..,18750,19530,20412,20720,22631,22407,22253,21716,21709,21552,21110,20980,24061,24710,27206,31736,28208,21079
  MEX58: Campeche,,..,..,..,100965,124971,137839,144114,144545,148972,105055,113089,131794,124199,112738,104336,63105,56088,60994,64689,69849,49023
  MEX59: Puerto Vallarta,,..,..,..,19628,18867,18517,18458,18215,17499,16466,16900,16874,17447,17951,18681,19630,20517,20495,20763,20704,19089
  MEX60: Salamanca,,..,..,..,12774,12912,12554,13239,12906,12963,12187,12727,13318,13933,14478,15284,16536,16994,17972,18306,17687,16675
  MEX61: San Juan del Rio,,..,..,..,19665,20144,21040,21322,21517,21383,20802,21187,21873,22139,22092,22865,24394,25315,25664,25865,25168,22257
  MEX62: Zamora,,..,..,..,9533,9572,9618,9811,9976,10047,9610,9767,10276,10338,10505,11015,11132,11734,12212,12259,12216,11403
  MEX63: Tulancingo de Bravo,,..,..,..,10417,11460,10299,11573,11054,11231,9847,10417,10669,11476,11240,11968,13070,12755,13552,14098,13390,11841
MLT: Malta,,25882,25399,25839,26715,26568,27273,27801,29080,30032,29468,30870,30942,32021,33380,35353,37853,38118,41617,42735,43618,38441
  MT001: Malta,,..,25986,26476,27518,27415,28167,28639,30022,31049,30382,31865,31967,33122,34518,36532,39123,39339,42932,43971,44781,39433
NLD: Netherlands,,45193,45888,45650,45475,46191,47001,48542,50300,51244,49124,49516,50040,49304,49095,49647,50405,51272,52448,53375,54101,51671
  NL001: The Hague,,54691,55090,54933,55448,55181,55972,56563,59200,59068,56315,56708,55213,54192,53366,53636,54010,54554,54131,54135,54976,53280
  NL002: Amsterdam,,58373,58273,59492,58779,60083,60632,62169,63877,64299,61771,62980,63060,61999,62463,64414,66204,68160,69645,71490,73065,67486
  NL003: Rotterdam,,45166,46002,45677,46087,47436,49493,51049,53245,54309,51562,51370,51022,50976,50178,50215,52405,53160,54154,54648,54780,52888
  NL004: Utrecht,,58688,60661,59211,57488,57922,58386,59475,61853,62123,62221,61720,61443,60369,60086,60634,61099,61665,63855,65158,67062,64829
  NL005: Eindhoven,,47426,46594,44684,43969,46387,46785,50190,51666,51925,47918,52285,54067,52764,53034,54718,57048,58152,60918,61804,62660,60308
  NL006: Tilburg,,37003,38747,38486,38667,38765,39306,39949,42069,42512,41477,41402,42391,41098,40895,41815,42767,43741,45119,46025,46648,44966
  NL007: Groningen,,51539,54293,52552,52525,53060,55621,59612,59854,65855,58654,59873,61218,62688,63579,59135,55899,52160,52572,52685,51591,46974
  NL008: Enschede,,34013,34575,34155,34447,34852,35451,36625,38806,39558,39469,39206,40216,38679,38343,38726,39309,40614,41680,42766,43752,42735
  NL009: Arnhem,,41123,41406,41174,41478,40841,41734,43019,43827,43812,43212,42881,43799,42697,42101,42741,43109,43871,44695,45583,46125,44490
  NL010: Heerlen,,37191,37761,38042,38652,39931,39878,40828,42856,43042,40259,41800,42815,41392,41258,41670,44047,46495,47239,47791,48415,45818
  NL012: Breda,,44782,45803,45299,45335,45301,46207,46974,48901,49873,47492,47661,48968,47898,47543,47934,49198,49990,51633,52669,52662,50847
  NL013: Nijmegen,,41266,41553,41307,41549,41015,41924,43173,43988,44020,43428,43034,43940,42949,42327,42979,43378,44197,45057,45920,46481,44856
  NL503: s-Hertogenbosch,,44070,44443,43774,43542,44313,46103,46555,46869,48219,48598,46817,47217,47919,46212,47209,48198,49566,50851,51303,52280,50964
  NL507: Leiden,,43791,46026,43980,43033,43320,43285,46593,47696,50312,46943,46359,46838,47143,46426,44670,44069,43733,43902,44497,44207,42752
  NL511: Zwolle,,38669,39903,39397,39384,40046,40942,42075,43038,45126,43056,42685,44083,42654,42569,43829,44284,45594,46727,48022,48493,46898
  NL514: Alkmaar,,33764,33933,34755,35259,35283,35761,36660,39020,40080,38765,38391,39146,38412,37834,38826,37623,38150,38119,38532,39754,38236
NOR: Norway,,54822,55637,56180,56373,58208,59339,60262,61493,61327,59488,59179,59005,59803,59640,60139,60627,60757,61605,61856,61936,..
  NO001: Oslo,,58770,60483,62370,60761,62019,60641,59380,63091,57283,60021,59439,57124,58238,58934,60697,63914,66697,65734,63720,67128,..
  NO002: Bergen,,42025,44749,45383,47099,47317,46503,44813,48100,46903,50003,47801,46502,47301,48391,49706,51949,53646,51956,49770,51095,..
  NO003: Trondheim,,38039,40017,41517,42954,41435,39648,38536,40424,40128,42803,42748,40881,41909,42631,43919,47455,50140,50313,49045,50436,..
  NO004: Stavanger,,44425,46524,48309,52331,51112,49415,52143,53393,54184,56865,57775,52645,54115,55599,56680,60447,57312,55054,53626,58137,..
NZL: New Zealand,,29331,30275,31259,32045,32602,33314,33736,34699,33829,34183,34110,34750,35459,35921,36681,37591,38186,38991,39731,40197,39166
  NZL01: Auckland,,32715,33579,35731,36520,37211,37630,37163,37688,35708,36398,36148,36872,37903,37731,39503,41413,41878,42269,44238,44473,43225
  NZL02: Christchurch,,26386,27198,28550,29562,30675,31300,31846,32385,31993,32268,32313,33872,35811,37352,38042,38260,37644,38522,39147,39784,38998
  NZL03: Wellington,,37653,38771,40088,40434,40502,41833,41295,42130,41636,43219,42297,43330,44054,43689,44840,45689,45788,46020,46114,47507,46150
POL: Poland,,15709,15910,16239,16818,17669,18296,19427,20816,21696,22298,23201,24280,24601,24878,25749,26848,27720,29055,30607,32063,31260
  PL001: Warsaw,,32931,33656,33837,34785,36019,38393,40901,43925,44859,46802,49453,50906,51832,52869,54635,56270,57974,61133,64618,67994,..
  PL002: Lodz,,16587,17087,17650,18794,19296,19812,21179,22904,24334,24975,26415,27041,27463,28007,29262,30602,31083,32659,35377,37618,..
  PL003: Cracow,,18021,17798,18388,19435,20509,21207,23371,24890,25916,26268,27132,28601,28871,29848,31075,32925,34597,36623,39049,40721,..
  PL004: Wroclaw,,20137,19933,21317,21603,21983,22445,24383,27045,29143,30638,32119,33528,34576,35948,37675,39594,41213,43570,46481,49347,..
  PL005: Poznan,,25900,25807,25976,27006,28927,30295,31797,34223,35608,36959,37222,38524,39291,40496,41660,43350,45180,47278,48826,51909,..
  PL006: Gdansk,,19147,19094,19807,19969,21222,22415,23569,24853,24891,26650,27231,28764,29956,29688,29814,31752,33146,34732,37258,39249,..
  PL007: Szczecin,,21346,20984,21086,21068,21024,22349,23607,24608,25924,25716,25983,26963,27257,27415,28639,30163,30534,32040,33951,35339,..
  PL008: Bydgoszcz,,17754,18120,18288,18706,19073,19774,21086,22513,23438,23583,23909,24630,25025,25003,25788,27004,27823,28694,30207,31127,..
  PL009: Lublin,,13946,14394,14708,15056,15310,15489,16307,17707,19025,19625,20385,21103,22338,23130,23900,24141,25059,26189,27269,28732,..
  PL010: Katowice,,17756,17883,19009,19584,20990,20954,22244,23900,25064,25776,26746,28036,28055,27943,28854,29873,30696,32086,34013,35105,..
  PL011: Bialystok,,13688,14417,14512,14991,15210,15610,16595,18120,18665,19117,19882,20554,20913,21127,21729,22258,22900,23893,25212,26638,..
  PL012: Kielce,,13045,13156,13669,14328,15097,14995,16211,17704,19138,18884,19108,19788,19850,19742,20337,21019,21518,22541,24020,24571,..
  PL013: Torun,,18010,18383,18547,18951,19286,20036,21361,22831,23769,23903,24208,24945,25412,25376,26153,27433,28261,29106,30595,31592,..
  PL014: Olsztyn,,13849,13548,13873,14742,15140,15627,16234,17073,17675,18303,18856,19781,19919,20490,21116,21654,22348,22754,23524,24718,..
  PL015: Rzeszow,,12285,12924,13232,13500,13801,14430,14937,15826,17395,18172,18961,20158,20837,21387,21997,23397,23801,24655,26399,27837,..
  PL016: Opole,,14165,13909,14178,14507,16953,16761,17329,19132,20658,20004,21864,22826,22848,23083,24305,25296,25586,26717,28252,29431,..
  PL020: Nowy Sacz,,10541,10613,10757,10973,11397,12017,12561,13266,14459,14701,14467,15349,15349,15357,16388,16964,17022,17955,19580,20462,..
  PL024: Czestochowa,,13933,15051,14662,15144,16494,16852,16966,18352,18680,18604,19274,20358,20548,20814,21615,22704,23747,25048,26096,27747,..
  PL025: Radom,,11146,11700,11868,12236,12244,12735,13578,14370,14906,15822,16201,16966,17115,17271,18044,18775,18768,19973,20673,22066,..
  PL506: Bielsko-Biala,,17435,17471,17390,17953,18681,18815,19635,20563,21701,22796,23051,24027,24538,24637,26113,28221,29364,30188,31620,32675,..
  PL511: Walbrzych,,12079,12645,12815,13468,13936,14171,15288,16315,16713,17320,17271,17973,17928,17931,18959,19774,20583,21175,22236,22913,..
  PL514: Tarnow,,10810,10736,11160,11398,11944,12193,13150,13601,14399,14588,15608,17210,17284,16684,16962,17759,17930,18867,19691,20394,..
PRT: Portugal,,29075,29406,29450,29037,29476,29645,30077,30771,30809,29819,30307,29796,28669,28553,28945,29613,30309,31468,32423,33340,30468
  PT001: Lisbon,,40972,41146,41518,40963,41838,41885,42212,42989,43089,41655,41949,41106,39025,38573,38419,38670,39111,40316,41225,42363,38286
  PT002: Porto,,27687,28255,27816,26938,27003,27299,27555,28540,28598,27124,27725,27333,26580,26480,27208,27888,28621,29737,30697,31339,28902
  PT003: Braga,,22055,22999,23197,22298,22662,22573,22736,23393,23916,23267,23372,23020,22793,22950,23662,24126,25352,26453,27343,28783,27119
  PT005: Coimbra,,25995,26647,26654,26685,27123,27041,27191,27618,27544,27155,27994,27668,26587,26459,26514,27647,28103,28835,30091,30407,28573
ROU: Romania,,10951,11535,12527,12942,14362,15130,16441,17736,19852,18936,18328,18765,19247,20048,20847,21546,22685,24490,25730,26972,26076
  RO001: Copaceni,,24298,24165,26528,27253,30182,35320,37243,40639,48176,42746,41674,44651,45853,47957,49167,52918,54355,58374,60205,64042,..
  RO002: Floresti,,12724,13695,15578,16079,17606,18354,20062,23150,23506,22768,21589,21684,24197,25036,26579,26746,30002,34343,35276,37188,..
  RO003: Giroc,,13040,14192,15833,17170,18747,20412,23232,24347,28678,26244,27075,27469,25708,27065,26809,29089,30809,31317,33091,34708,..
  RO004: Simnicu De Sus,,8300,8989,8825,9865,11261,11210,12244,13192,14864,14457,14000,14046,14811,15140,15977,16130,16584,18369,19914,20939,..
  RO012: Modelu,,6419,7805,7065,7499,9792,8048,8736,9019,11889,10253,11155,10613,10698,13330,11199,11457,11993,12825,13786,16152,..
  RO501: Valu Lui Traian,,14261,14364,16877,16444,18257,19935,21066,20685,20833,21248,20628,23300,25152,28283,31005,28940,29662,30128,30831,29225,..
  RO502: Schitu Duca,,8849,9619,10533,10311,10812,11644,12177,13272,14597,13782,13914,13248,14854,16035,16529,16673,17510,20234,20851,21322,..
  RO504: Sinpetru,,13274,14210,16353,15965,16462,17482,18462,20704,20539,20466,20727,20017,23943,24280,25023,25575,27922,29465,30887,31496,..
SVK: Slovak Republic,,16316,16909,17671,18657,19652,20951,22729,25190,26580,25101,26640,27333,27643,27791,28521,29979,30530,31387,32532,33334,31838
  SK001: Bratislava,,36877,38532,41417,43261,45631,52262,54771,62146,64602,65184,68496,69559,68436,70331,70409,74234,75562,76339,77792,77457,73812
SVN: Slovenia,,24603,25365,26202,26964,28120,29171,30758,32791,33943,31040,31232,31452,30543,30180,30981,31638,32627,34170,35664,36575,34779
  SI001: Ljubljana,,..,..,..,..,..,..,..,..,49000,44944,44823,44975,44119,43147,43886,44464,46077,48077,50478,51726,50264
SWE: Sweden,,39216,39689,40441,41228,42849,43900,45762,46995,46429,44062,46263,47361,46749,46942,47745,49364,49856,50399,50747,51198,49198
  SE001: Stockholm,,55660,55290,56091,56612,59881,61894,63249,65597,64465,64246,64634,66535,65477,65656,67320,70025,69910,69181,69967,70950,69160
  SE002: Gothenburg,,39969,40565,40564,42220,42794,43659,45890,46518,46326,43007,44655,45792,44764,45118,46072,48596,49168,50069,49456,49588,46624
  SE003: Malmo,,37857,38216,39243,39135,40274,41222,42848,45791,42651,39542,41709,41848,41160,41343,42220,43096,43433,44689,44131,44387,43334
  SE006: Uppsala,,34196,37492,37995,39495,39899,41317,43371,42419,43350,41649,42543,43773,43745,45223,45340,45769,46454,47755,47134,48048,44222
TUR: TÃ¼rkiye,,14406,13994,14696,15337,16791,18079,19096,19809,19728,18533,19805,21676,22410,24021,24866,26030,26538,28145,28626,28461,28570
  TR001: Ankara,,..,..,..,..,24617,26582,28220,29724,29674,28078,29131,31327,31719,35094,35183,36212,37778,38457,37670,38916,40285
  TR002: Adana,,..,..,..,..,11891,12815,13371,13949,13782,13290,14343,15466,16150,17299,17558,18551,19243,19868,19512,19945,20874
  TR003: Antalya,,..,..,..,..,22115,23286,24559,25393,24331,23002,25129,27169,27071,28479,29479,29781,26150,28422,32115,33310,24142
  TR004: Balikesir,,..,..,..,..,14849,16168,16751,17330,17687,16970,18189,19091,19707,19474,20854,21386,22420,23392,24006,23919,24729
  TR005: Bursa,,..,..,..,..,20470,22212,23605,24339,23926,21392,22632,25387,25610,27345,28287,29531,29803,31918,33588,32185,31303
  TR006: Denizli,,..,..,..,..,16922,16820,18070,17999,17569,15934,17421,19771,20083,21254,22477,22658,23794,25113,25518,25175,25540
  TR007: Diyarbakir,,..,..,..,..,8640,8795,9283,9425,9006,8665,9523,10536,10947,12090,11817,12273,12362,12868,12576,12973,12834
  TR009: Erzurum,,..,..,..,..,9035,9572,10054,10497,10683,10663,12088,12600,13234,13961,14410,15331,16408,17277,16490,16292,17109
  TR010: Gaziantep,,..,..,..,..,11450,11876,12518,12523,11980,10875,11876,13397,14806,16555,17356,18715,18739,19900,20684,20468,22583
  TR011: Hatay,,..,..,..,..,10789,11842,12181,12790,12910,11839,12416,13706,13729,14994,15689,16374,17196,18660,19182,17307,17951
  TR012: Istanbul,,..,..,..,..,28901,30793,32395,33648,33216,31155,32449,35534,36881,40032,41377,43519,44047,47155,47408,47579,46024
  TR013: Izmir,,..,..,..,..,20173,21498,22900,23327,23069,21404,23006,25213,26148,27588,28230,29114,30334,32632,33952,32881,33060
  TR016: Kayseri,,..,..,..,..,15759,17238,18180,18683,18349,16621,17668,19085,19688,21029,21643,22221,22833,23981,23758,23996,25243
  TR017: Kocaeli,,..,..,..,..,27542,30418,33377,34765,34602,29960,31397,36316,36240,39487,40336,42049,41433,46043,48543,44458,46057
  TR018: Konya,,..,..,..,..,11766,12643,13345,13857,13809,13589,14410,16269,17142,18498,19526,20349,20711,21807,22256,22188,23313
  TR019: Malatya,,..,..,..,..,9416,11072,10524,10914,10793,10493,11361,12920,13049,13907,14257,15370,15392,16172,16272,16474,17409
